" There are a small handful of cheap places to stay in Agumbe,"	
" a three hour wait on KohSan rd,"	0
 The major problem is that in this area cars are not allowed so you have to leave your cab and take a cycle rickshaw.	0
 Good hotels are few and rare.	0
 I have stayed at the Lara hotel because of its location and its safe.	1
 500 - 700 to hire a small car.	0
 they will charge you what comes to their mind so do haggle.	1
 Prefer hotel cars as they will ensure cleanliness and safety.	1
 Sandstone is the regional specialty the amazing thing about sandstone is that once you wash it with water it keeps your room fragrant with smell of wet earth.	1
 Mobile phones and liquids are not allowed so either leave it in your hotel or deposit with the guy who keeps your shoes.	1
t(MISSING)emples don’t allow shoes.	0
 You need to deposit your shoes and bags with shops near the temple gate and you can collect them on your way back.	1
 In case of any doubts please talk to policemen they are your best source of information around the temple complex.	1
 Do check the timing with your hotel and the closest ghat.	1
 There is an old fort not very well maintained but in case you are into that you might consider visiting it.	0
 Also if you can manage the chaos then Dev Deepawali in November is a spectacular scene.	0
 so I thought I'll get back to the hotel two hours before the train so I can pack and chill before a 13 hour train journey.	1
I manage to just about find the platform and catch the train just in time because it's late.	0
" then the fort and wait and take me to a restaurant,"	0
 and again wait then take me to the station.	0
" I always assumed there'd be loads of different rooms and stuff,"	1
" stuck waiting for an hour,"	1
" also known as a rickshaw) to """"yogi lodge"""" recommended in the guide book,"	0
"The rooms pretty clean,"	1
" explaining that everyone outside the walls of the hotel are crooks and liars,"	1
" You're stood outside a shop on a tiny street,"	0
 We were staying at Aman Homestay and they had sent a driver for us.	1
 Once we settled into our rooms (which were really lovely) we showered then decided to head out for breakfast.	1
 The homestay arranged a tuktuk for us for the day and our driver was waiting for us.	1
 We headed off to the fancy Raddisson hotel nearby who had said we could use the gym.	1
" A lady escorted us through the hotel (we felt very out of place in our gym gear) and showed us this amazing gym,"	1
We then asked our tuktuk driver Vicky for a gym and he took us to the most dodgy looking hotel in the middle of nowhere.	1
 It was so old school but there was HEAPS of equipment and they charged us a paltry $1 to use it!	1
" Afterwards we headed back to the hotel and when we got there,"	1
 We retired to our rooms after dinner and had an early night as we were getting up early for sunrise at the Taj!	1
 it was a short but lovely stay at Aman Homestay and Agra.	1
Up and out of the hotel by 5 am to catch the train to Agra.	1
 We then headed off to our hotel to relax before heading out to see the Taj Mahal.	1
We returned to the hotel to change for dinner and then took a tuk-tuk to a nearby restaurant.	1
 I ordered coffee from room service for the three if us.	1
" and our room checked over for items missed,"	1
I did manage to get my sari.	1
'efficient' head on at about 4.	1
" Again we were not disappointed; it was cloudy,"	1
 but Emily and I managed to catch a few great photos just over a few minutes whilst it burst through a break in the clouds.	1
" some people went back to the hotel; Tom,"	1
 that is so much easier with eight people than with 16!	0
"The train managed to arrive with only an hour and a half delay,"	0
 I did manage to get that.	1
Ankur put a smile on everyone's face this morning when he informed us that we are going to Agra.	1
We went back to our rooms for a bit of a rest as we had a couple of hours to kill before meeting back as a group.	1
" Jude set the alarm to allow for a nap,"	1
imam reliably informed by our guide Dushyant.	1
 but we were not allowed to take any photos.	0
 and also groups of people waiting on the steps with bound and covered bodies adorned with flowers waiting for them to be cremated.	1
Then we headed back to the hotel where I managed to catchup on some of my lost sleep from the crazy night train.	1
 Mary and Steph waited until we hit the shore liNd and then paddled in.	1
 We were not allowed to take photos of the cremation sire but we could take them from a distance.	0
 let you take photos and then charge you thousands of rupees not to say anything.	0
 Then a tuk tuk home to the hotel We got stuck in traffic and found ourselves being followed by a man who had taken a shine to Mary and was walking with his dick out in his hand.	1
"She and her husband have worked hard to move from living in a one bedroom place at the back of a shop to a lovely little new build home with separate bedrooms,"	1
We arrived in plenty of time to catch the train so waited in the ladies only waiting room.	1
" So eventually our guide asked the waiting room attendant to ask her to ove,"	1
 She tried to get it but couldn't so her husband tried but was holding all the passengers up waiting to get on.	1
" We did have AC and a fan,"	1
The AC was on full so it was cold but we didn't know how to get a blanket.	1
 but sadly no that luxury was to be taken away from me.	0
Finally we were pulling into Varanasi we had to wait 45 mins in the heat with no AC and only a ceiling fan to keep us cool.	1
 As usual we had to dodge to maic traffic and avoid an early death on the roads lol but we managed it and all arrived at the air conditioned hotel all in one piece.	0
We headed to our rooms for a quick shower and then meet for lunch in the restaurant.	1
 In most hotel rooms on this trip we have had to insert the key fob in to a slot behind the door to activate the leccy and AC.	1
 We were then advised we had not pushed the key fob in the right way or far enough so in fact all was ok with the leccy and it was also user error on the tap front too!	1
When we got back to the hotel guess what .	0
 just the reception so the lobby was packed with guests and the sound of the party voices and music was coming up from the room the reception was being held in.	1
 well as you can guess by lack of updates I have been having wifi issues.	1
 This time it's intermittently on and off and I have to sit in a fan cooled room but it's still very warm.	1
" We are staying in the same hotel,"	1
10am we left the hotel and drove the short distance to the car park.	1
 Ladies in one queue and gents in another.	0
After watching the kids playing and swimming etc we wandered further into the complex and climbed some stairs to a pool where people were swimming and kids playing.	1
Sorry I haven't blogged for the last couple of days but we had no internet access last night and the last evening in Jaipur my pay wifi ran out before I had time to do an update.	0
 My internet time ran out in Jaipur before i could update my.	0
 Yesterday we're were in Tordi Garh and the hotel had no wifi!	1
 ventilation systems and lots of secret passages to allow the royal family to escape and cause confusion should the palace be invaded.	1
 When this was happening no women were allowed in the vicinity.	0
 Also they created a ventilation system which allowed air and light in but did not allow you tossed in or out of corridors and rooms.	1
had separate apartments and rooms and we're not allowed to talk to each other unless the marharjine gave them permission.	1
When they had children they here only allowed tomstaynwithntheir mothers until they were 5years old and were then moved to a separate area of the palace to be educated.	0
We then head lunch and head back to the hotel for a few hours r and r.	0
" We are staying in a small family run hotel which is basic but clean and comfortable,"	1
 and has air conditioning in the rooms- bonus!	1
 Once settled in our rooms we had some home cooked lunch and afterwards a few hours R and R.	1
We arrived in Jodhpur just after lunch and after checking in we sat in the hotel garden and had some lunch.	1
 We had a nice meal and then went back to the hotel for guess what.	1
 came back to our hotel to join in the festivities.	1
" We went down to the hotel restaurant but the only breakfast was buffet,"	0
 Then we tried about 3 hotel restaurants down the road but all had their restaurant on the 5th floor which was too much to deal with at that point in time!	0
 So we admitted defeat and went back to our hotel and had toast and chocolate milkshake!	1
After breakfast we went back to the room and lazed around until 12.	0
 Miriam and myself went into the palace and spent a good few hours wandering around the beautifully decorated rooms and gardens.	1
 which was about 40 minute drive from our hotel in Pushkar.	1
After dinner we walked back to the hotel and hit bed early as we had sunrise hike in the morning.	1
 Myself and Krissy (who hadn't been very well) stopped just shy of the top and got comfortable on our personal rock seat.	1
After breakfast we went back to the hotel and went back to bed!	1
" Slept until 3pm when we got up and all took a taxi into town,"	1
 stopping off at various shops on the way back.	0
We had dinner in the hotel restaurant and then had another party on the rooftop!	1
 Today we had the luxury of a private air conditioned car and a departure time of 9.	1
Afterwards we went to a block printing shop and watched a demonstration of block printing prior to some retail therapy in the shop.	1
After lunch we went back to the hotel to get out of the heat for a few hours.	1
 Purchases in hand we left and headed back to the hotel in a tuktuk for dinner and group briefing with Ankur.	1
We then went to a rooftop restaurant for dinner and back to the hotel for bed as early start for sunrise at the Taj.	1
 Ashok took us to a great local and cheap eatery for lunch.	1
 From here we got to our hotel for the night and Ashok dropped us off just outside the Jaipur walls so we could see the Jantar Mantar observatory and city palace.	1
 which also has three sacred pools of water.	1
 One of the pools has been taken over by thousands of monkeys that congregate there to swim and bathe.	1
 The legend says that the three sacred pools are varying depths said to be two or three elephants high deep.	1
 The hotel was very cheap and I think had India's dirtiest bath/bathroom for sure.	1
 we had one guide (they thought we would need two) and one bike each (they wanted us to hire a rickshaw as well) we were off.	1
 we still saw a decent amount and the guide kept us entertained pointing out different birds and telling us about a book he has coming out with the national geographic.	1
 and internet for that matter!	1
" it is the part when there is a taxi tour and the young boy is 'looking after' the car,"	1
"bit of a mix up with us not being allowed to take a tripod in,"	0
"We enjoyed the taxi trip a lot,"	1
" comfortable way to see Rajasthan,"	1
" We decided to ease our way in we would pre-arrange a taxi pickup with our hostel,"	1
 which was great as we didn't have to deal with hundreds of taxi drivers all wanting our fare.	1
 although we did make a couple of pit stops - one to pick up the local chewing leaf (paan) from what seemed like his mates shop and then to swop drivers.	1
 the stairways and landings looking quite old and run down but the room being ultra modern!	1
 which the queue for was huge; there were hundreds of families all holding gifts to take into the temple.	1
 and there are cremation ghats where bodies are cremated waterside allowing ashes to be washed away by the rivers.	1
" Its best to be as ‘casual’ as possible and take a seat enough away from the action so you aren’t intruding but close enough you can see and take in the unique experience in a respectful way,"	0
" He took us up to a room on the 2nd floor of a derelict building over looking the Ghat,"	1
 are these bodies waiting to be burnt?	0
" Lots of lots of people hire boats to go watch and also children (with fantastic English language·) sell you candles,"	1
 This turned into a huge scene with one of her friends jumping in to save her and she almost drowned him as well when finally a man in a fishing boat stuck his paddle out for her to hold onto and managed to drag her and her friends onto the boat!	1
As it was our first over night train journey we again eased our way in and went on AC first class.	1
"So we are staying put in our hotel,"	1
" For the past 3 or 4 years Singhji is no longer allowed to guide his tours through the Taj Mahal,"	0
" I was disappointed at the inside,"	0
"We woke up bright and early the day after my birthday and decided it wasn’t worth moving rooms again - we had originally told Shiva we were moving to Jill and Richards when they left as it was slightly nice and had an aircon,"	1
We had a nice brunch at OM then headed back to the hotel to get organized for a walking tour we had arranged with Varanasi Walks.	1
 I tried to keep my balance as he pushed me until I saw a cow charging past me and into Taylor!	1
 We were told to leave our shoes in a small alleyway at a little shop and to walk a short distance to the temple.	1
 We were a little disappointed as it wasn't as good as previous ones we had eaten and we had really talked it up to Brandon who wasn't impressed with it at all!	1
 We didn't have much planned for the day so we decided to just wander the back streets and do some shopping for scarves.	1
We found our way to Ba Ba Black Sheep - a silk and pashmina scarf shop recommended for its quality.	1
 I then went back to the hotel and ate Nutella for dinner!	1
" We curled up on the newspaper and waited for our train to arrive… Not long before the train turned up a lone cow meandered past slowly on our platform,"	1
 we had breakfast while we waited to check in.	1
"I told them to please wait and I bolted for the toilets,"	1
"We made our way to find a taxi and met up with an Aussie couple,"	0
 Richard and Jill who just happened to be staying at the same guesthouse .	0
 We shared a taxi with them to the guesthouse.	1
The taxi dropped us off at the main road and a guy met the taxi to then show us how to get to our guesthouse.	1
 he seemed a little uneasy (given he had just given someone our room we booked) and so showed us to another room which was not what I had paid for.	1
 I was extremely rude to him about it and was told that it was the only room but we could either A) swap with Jill and Richard or B) move the next day.	1
 especially when I saw their room a little while later and it was extremely cute and just what I wanted!	1
I went downstairs to the room and started crying.	1
 I cried myself to sleep and Taylor was kind enough to tuck me in when she came to bed later on.	1
 and walked up to the rooftop to have a Chai and wait for her to rise.	1
 We spoke to Shiva about changing rooms and he showed us a room similar to Jill and Richards.	1
 We were staying at Munshi Ghat.	0
 catching up on internet and chatting.	1
 We went back to the room to chill out and eat nutella from the jar.	1
 We were a little disappointed since we were there to have dinner and socialise.	0
 as well as in CD shops playing Indian music.	1
 I can tell you that it was not a disappointment indeed!	1
 we managed to see a boa constrictor.	1
 the city that was the Mughal capital for a decent amount of time back in the day.	1
" Shah Jahan Function: Monument,"	1
 When I arrived in New Delhi I was meeting a friend and he still had not arrived yet so I waited in the baggage area for a while before deciding to go get a room at the Airport Lounge.	0
" not allowed to stay in Delhi,"	0
 nor were we allowed to leave the airport because the fog was so heavy it was unsafe to drive.	0
 it was safer to stay at the airport then try to get the driver to take us to Agra in the morning.	0
) It is more like a fort/castle thing with amazing gardens and pools and beauty everywhere.	1
" but my friend and I REALLY wanted to see it one night so we were sneaking all over this hotel trying to find different ways up to the tower,"	1
 got off topic with the hotel thing there.	1
power in ruling the empire.	1
 When it was my turn I was not brave enough to hold the snake so I got as close as I felt I could then smiled to the camera.	1
 (we stopped at a carpet shop and saw how they were made.	1
 That young girl had enough respect for me/herself/morals/karma to forget how hungry and cold she was and not take my stuff.	1
" but I think the cultural differences of the Cast system or work related issues made it very uncomfortable for him,"	1
" I wasn't really prepared for when people said that part of your heart stays in India,"	1
"Our hotel for the night was very swanky,"	1
 it really is such a contrast from the chaos outside to the serenity inside and of course the luxury and comfort inside to the poverty and sadness in the street.	1
" being made in Jaipur were coming to the hotel tonight,"	1
 only 1 hour to wait for the gates to be opened.	0
Back to the hotel for a late breakfast and then straight off to visit Agra Fort - there is going to be no rest on this holiday but we don't mind when we are seeing all these amazing sights.	1
 She was to be my next door neighbour at the new hotel I'd checked into: Hotel Sheela.	1
 who rocked up out of nowhere and asked for a room (Thanks to a Lonely Planet recommendation mind you).	1
 (Also interesting was that due to her religious beliefs she wasn't allowed to willingly make any physical contact with a man.	1
" We were lucky enough to be the first people to get to the Taj,"	0
" They told me I had to wait half an hour for the booking,"	0
 which was enough time for the driver to take me to a shop!	0
 I made it easier by announcing on arrival that I wouldn't buy anything.	0
 We were in luck - all the celebrating would culminate in a procession that would be passing right next to our Hotel as they head down to the river to submerge effigies of the Goddess Durga into it.	1
 and made it back to the hotel with everything intact.	1
 This was a strong awakening to the standard of living and amount of poverty that was waiting us for the next 10 days.	1
 our accomodation for the night.	1
 with vast silk shops and colour and spice filling every section it was amazing!	1
" the elephants allowed us to get up close to a pair of mother and calf Rhino's,"	1
" and wait until the next morning,"	1
 This left us to hang out in our surprisingly cheap but very nice hotel about 1km away from the Taj Mahal’s East Gate.	1
 except these guys were a touch more persistent and literally tagged along with us from the moment we left the hotel to the second we arrived at the restaurant we decided to eat in.	0
" far from having had enough of the mighty Taj Mahal,"	1
" and the fact that we would have rickshaw drivers hassling us and shop sellers dragging us into places wasn’t really anything new to us,"	0
 fairly quiet and the room was half decent albeit a little dark.	0
 the resident hotel tour operator sat us straight down and kindly showed us a few things on the map.	1
" We have been here long enough to know that this is code for ‘I’m gonna try sell you a tour before you step outside and get one cheaper’,"	1
 however the guy was friendly enough and we wanted to see what was on offer.	1
" he quoted us what seemed a decent price,"	1
" we had decent seats,"	1
" however it was enough to put us out of action for a good 24 hours,"	1
" It really was an interesting and informative couple of hours finding out who did what,"	1
 fake ones loved it and charge you for the honour!	0
 He used to have a shop in the market but for 10 years had not been able to face it.	0
 and allowing thoughts to come and go without them taking over ones state of being.	1
 The way he again let me be and felt comfortable to go and do that made me feel very accepted.	1
 One important reason why its a good time is that internet connections actually work pretty well before 10am after which office India goes on-line.	1
 although there are chai shops if I fancied an early stroll and chai.	1
 But I stay in my room and waste an hour answering emails and working on blogs.	1
 Now which of my favourite chai shops will I patronise this morning?	1
 I have this mythological belief that its important to my chai shop 'friends' that I maintain patronage – what is that?	1
I suspect this baba is quite wealthy - he is always dressed immaculately and it seems obvious he has a decent place to live.	1
 He runs a toilet-size shop selling this and that in his 'spare' time.	1
 On the way through there is a sweet shop run by Vishnu who I met in 2010.	1
 I visit Satish in his chai shop in the middle of the fruit and vegetable market which is right on the route taken by the funeral marches to the burning ghat.	1
 The steps at the left of the picture (also submerged) is where Rama Guru ran his chai shop for at least the last 33 years (when I first met him).	1
On the way back to my room it starts to rain – heavily – but its just a 10 minute shower.	1
My room is the door in the middle of the pic!	1
" Making my way back to my room after lunch,"	1
 one motor boat and manages one houseboat.	1
 Its a joyous reunification and I am quickly feeling at home as I ditch my pants and shirt and apply my gumpcha as a lungi and sit comfortably in the Ganga breeze.	1
 I am invited to stay for freshly netted fish which have drifted down from the mountains.	1
 I buy a small sweet lassi and 100 grams of dahi (curd) from Shyam's shop at Assi Ghat.	1
Only small problem is that there is a wedding the next day next to my Guest House – friends of Deepak and Rajana – so they are availing the area right outside my room to the preparation of sweetmeats for the event – a rather noising undertaking which keeps me awake until 12.	1
" Our hotel (Hotel Kamal,"	1
 and we could actually see it from our hotel roof.	1
 Warning: you go through metal detectors and they don’t allow food or drinks other than water inside.	1
 So order a thali to split and save room for dessert!	1
 we also got a cheap cell phone.	1
" an address (a hotel address is fine),"	1
 You can ask at your hotel for a recommended cell phone dealer.	1
We had another of my favorite experiences in India while eating breakfast on the hotel roof in view of the Taj Mahal.	1
" One of the neighbors of the hotel happened to be on his roof with his daughter,"	1
" in the AC-3 compartment,"	1
" AC-3 means you have a bed to yourself,"	1
" wait for us,"	1
 All while I sit inside a modern air conditioned show room eyeing off the new bikes on display.	1
Riding into Ranchi (and its gotten dark now) I wonder about where I am going to find a decent place to stay.	0
 there is the 'Midtown Hotel' staring at me.	1
 the guy in the front shop assures me I am at the right place (its almost as if he were expecting me) and ushers me down the lane to the Reception.	1
" arrange with said young Sikh to gain free access to a large A/C deluxe room in the morning so that I can do my hatha yoga,"	1
 and they will tell you: Rule #1 when traveling to New Delhi: “Watch out for scams”.	1
 He kindly informed us that the Grand Bazaar had been closed off due to religious conflicts (Hindu-Muslim) that had taken place during the Ramadan festival.	1
 He told us that in order to get into the area we had to go to the Government tourist office and get a pass (which is free) that confirmed we were staying at a hotel along the Bazaar.	1
 Sure enough we arrived at an office with an official looking “Government of India: Tourism” sign.	1
 They called our hotel to figure out how this situation could be solved.	1
 I was put on the phone with the ‘hotel owner’ and he told me that the hotel was closed for the night because on the conflicts occurring on the Grand Bazaar.	1
 He said he would be reporting the hotel to the Government!	0
" He said the ONLY hotel available in New Delhi was just outside of town and was 5,"	0
000 rupees a night (our original hotel was 800 rupees).	1
" We talked about how lucky we were that railway employee had informed us about the Grand Bizarre closure,"	1
"The next day when we arrived in Varanasi I received an email from our original hotel owner asking us why we never showed up,"	0
 He said he was going to charge us a night rent at his hotel.	1
" that we had NOT spoken to the hotel owner (but instead the scammer’s associate),"	1
 Luckily the owner of our original hotel was very kind and did not charge us for the night we missed which helped stopped the bleeding a little bit.	1
" all of that; our hour taxi drive from the Varanasi airport into the central town hit us with all of it,"	1
" as it is a big issue in India,"	0
" Sure enough there was his uncle and a couple business associates waiting for us with big smiles and samples of silk scarves,"	1
 Our room was big and clean with air conditioning!	1
 the front desk manager decided to have the head chef make me a special breakfast anyway.	1
A driver came to bring me to another hotel where I would meet up with the other people from other hotels who would join the group.	1
 At one point one of the tuk tuks (little cabs) clipped the back of our van.	1
 just got clipped by a little cab and our driver stops the car and gets out.	0
" that was another charge…it goes to show you there is no such things as a free lunch,"	1
 so we wouldn’t have to wait for the pictures to get printed.	1
" they brought us into the back room and I for sure thought we were done…but,"	1
Lunch was served at a very high end hotel in Agra.	1
my hotel first.	1
 I called Shweta to ensure my driver would pick me up as I would need to leave my hotel by 5 am to catch my flight to Bangalore.	1
 one night in a horrible hotel in India's sex trafficking capital.	0
" very out of place female managed to play the poor innocent white girl card and obtain VIP status for a ticket on what was,"	1
" Western girl in traditional clothing turning up to a Western shopping mall in an Indian city,"	1
 Top bunk in AC3 for an overnight journey with lovely company.	1
 Although in AC3 the likelihood of said men staring is decreased by about 50%.	1
thirty minutes I find myself stuck in the hot sun waiting for the faulty boom gate to open up.	1
" There are people working together to move their motorbikes and rickshaws over the railway tracks but we stay waiting,"	0
" Should have walked because after all of that waiting around I've arrived at the side of a road,"	0
 I was fortunate enough to share one of the most interesting conversations so far on my travels.	1
 Khar wasn't/hasn't been allowed back into China since.	0
 He will never be allowed back into China.	0
 I also have health issues and the fact that I have a weight problem doesn't help at all.	0
" the car is waiting for us at the Varanasi station,"	1
 We check in and I share the room with my folks on an extra bed.	1
" The hotel is lovely,"	1
 only the swimming pool is under renovation.	0
 the banks are very crowded and we stay for some time before returning to the hotel.	1
" we shop a bit outside and i pick up some clothes,"	1
 we return to the hotel and it seems to me that I'm staying in a taj hotel after decades.	1
" the taj property was an erstwhile palace now bought by the hotel after most of the maharajas converted their palaces to hotels post the abolition of the privy purse by Indira Gandhi,"	1
 we may have seen a couple of idols too and my father managed to have a cycle rickshaw run over his feet.	1
 i nurse him back to recovery in the hotel and on one of our walks we strolled into an antique store and dad bought this amazing statue of a mother and a child.	1
 so the story goes that cow herds were used to capture these houses and my grandfather had singlehandedly managed to renovate and maintain one house.	1
 The lanes narrow enough to hold one bull standing on it are also something to add to your must-watch list in Varanasi.	1
"the very last moment my mum and me walked down to a shop behind the hotel and i find such exotic stuff,"	0
 Most of the shops were still closed but a number were starting to open and the guide bought Michelle a small string of pretty tiny flowers that smelled like jasmine.	1
 We went up and down the Ganges with the guide explaining where different kings had built their homes or where celebrities like the Beatles stayed when they went through their Hari Krishna stage.	1
" Michelle waited in one of the clean stores selling aryuvedic oils,"	1
 Our morning ended at yet another shop where we helped support the local economy.	1
" The information may,"	1
 we felt brave enough to wander off the hotel grounds and explore the local environs.	1
 Traffic is another issue completely.	0
 Our experience in India’s luxury hotels has been wonderful.	1
 a hotel employee was anxious to show us the mango trees growing on their property.	1
"small entourage of hotel staff including the maitre de,"	1
 it was a large room built in 1919 with a large topographical map built to scale of the Indian Sub Continent made from marble.	1
" The shops sold clothing,"	0
 As we entered deeper into the winding alleyways (thank goodness we had someone who knew the way) the wares in the shops changed.	1
 The pallbearers dip the shrouded body in the Ganges and then allow it to drain for 20 minutes.	0
 just ‘hang around” waiting for the cremation to finish.	0
Our guide rushed us to a bicycle rickshaw and led us out of Kashi to our waiting car prior to the end of the ceremony as to avoid getting caught in the large rush of people.	1
 so his marriage will wait for a few years and his extended patriarchal family all lives together in one home).	1
 our room has a direct view of the Taj Mahal.	1
 No cars are allowed in the nearby vicinity.	1
" We learned the polite American style of waiting your turn,"	1
 allowing us to view the Taj Mahal without rain pouring down.	1
Our day finished with some very expensive shopping at the government run shops for local craftsman making products specific to Agra.	1
 Then we went to an embroidery shop were we view the stunning work again made by local craftsmen.	1
" In each of the hotels we stayed there is quite a bit of security check of your bags,"	1
 So we spent sometime drying them in the hotel room.	0
 We freshened up in the room and were ready by 3:15 PM.	1
 Guide Nadeem was waiting in the lobby.	1
 They do not allow any motorized vehicle near other than electric cars operated by Govt and private vendors.	1
 We were able to stay in a covered area opposite to TM.	1
 We came back to our rooms and repacked since we were leaving agra to Jaipur the next day.	1
 I've had them twice now since I've been here and am currently waiting for a third try.	1
 our last day together before elisa heads home and I head to Delhi to wait for my own jet plane to whisk me away.	1
" Legend says even a drop from the river is enough to wash away all your past sins,"	1
We arrived and after an interesting (read terrifying-ish) ride to our fabulous hotel we were able to catch a little nap and some great food.	1
" waiting now for the monsoon season to swell her up,"	0
" Then you shop in the stress free,"	1
 set price shopping mall where you can find beautiful clothing made with both style and modesty in mind.	1
" During normal hours there are queues to go in the fly infested corner for a leak,"	0
I had a little issue with my train ticket.	0
 I had saved an open internet page on my ipod which decided to reload and close in the station so had no idea of my seat number.	1
" There are also state laws so no factories are allowed within a certain distance,"	0
easy enough to get some space to take a decent photo.	1
 Well maybe not as there are high end hotels but it was in a hotel so was maybe triple what a local place would have been.	1
" Some staff even point out that a service charge has not been included,"	0
Anyways in the afternoon I was taken firstly to a few shops as the driver was probably wanting some commission.	0
 He dropped me at a little hotel and I went inside and had a beer.	1
" I had to wait hours at the station for the train and was constantly approached by drivers saying they could drive me to Delhi instead and it would be quicker,"	0
 so got some food and just waited for my train back on the platform.	0
"I sorted out my taxi to the airport for 2am,"	1
pretty much relaxed in my room most of the day.	1
 I stayed awake all evening and night after a brief thought of a nap and waited for my taxi.	1
" You're required to wear booties over your shoes and they don't allow outside food,"	1
 Our hotel rooms have ac and breakfast included.	1
 both now living in New York – while I waited outside because I was hot and not in the mood to shop.	1
“What does the manager have to do with me using the bathroom?	0
"doubt I’m the first tourist to do this… This just can’t wait and it’s going to happen whether I like it or not,"	0
” I said again as he walked away to allow me as much privacy as I could have in a one-room home with a toilet with no door.	0
" but the shopping is great; I’m certain giardiasis is rampant,"	1
 watched water buffalo bathe in the Ganges - along with the locals and Sadhus - and Klaudia shopped while I ate.	1
 the stray dogs rule the streets as the cows and people sleep.	1
" They are allowed to roam the streets almost wherever they like and you have witnessed them cause traffic jams on busy streets,"	1
" some controversy: women are not allowed to attend the ceremony because,"	0
was carrying a being without sin while the latter has suffered enough already.	0
 Hotel Haifa.	1
 Beats me why an extra tuk tuk can't be hired to take some of the luggage and make the trip a little easier on everyone.	1
We settled into our rooms and later met for lunch in the restaurant.	1
 Wifi here cost 100 rupees ($2) a day and was available only in the lobby.	0
" which was just as well as the hotel seemed to have a lot of power outages which,"	1
" If we complained often enough it was switched on,"	1
 Seems the hotel isn't far from Assi Ghat (steps leading to the river) so I asked directions and found the way myself.	1
 Visitors start taking their seats while locals can be seen buying flowers and other items from shops around selling pooja-related stuff.	1
" Afterwards I walked back to the hotel via the ghats,"	1
 and we got back to the hotel without any problems.	1
 But we aren't out here to shop and they soon move on.	0
" I caught a tuk tuk outside the hotel and he dropped me at Dasaswamedh Ghat,"	1
 where he would then wait and bring me back.	1
 I was met by a young man who volunteered to show me around and explain the burning process.	1
No female family members are allowed at this ghat.	1
 it will be allowed to continue drifting with the current and will eventually disappear.	1
"I had a very hot walk along the ghats back to the hotel in the midday heat,"	0
Everyone is waiting for a bus.	0
" I'm a little mistrusting of hotel staff,"	0
" It never ceases to amaze me how they manage to manoeuvre their buses through the tightest of places,"	0
" Many a time I've held my breath as we've passed within six inches of a shop awning,"	0
" waiting to hear a crash,"	0
" followed Bishal down the street and around the corner where a mini van was waiting to take us to our accommodation,"	1
 Hotel Sheela Inn.	1
" The hotel was in a great location,"	1
" They had free wifi on the roof,"	1
"what a night's stay in this establishment is worth,"	1
"Bishal had organized with the mini van driver to take us to and from Agra Fort this afternoon,"	1
 then returned to our rooms to escape the heat.	0
 and one I've waited a long time for.	0
"the hotel via The Oberoi Villas,"	1
 a huge resort complex I had to walk past to return to my hotel.	0
" There are no air conditioned shopping malls or supermarkets here,"	0
 up the water intake and stay inside during the hottest part of the day.	0
" The driver took me to a shop (his friends),"	1
to shop there instead.	0
" It was easier not to argue and would only take a couple of minutes,"	0
 Eventually I got to the bazaars to find only a few shops had opened and the rest would follow by 11.	0
I returned to the hotel and stayed in for the remainder of the day.	1
 but I only stayed for about 20 minutes because the heat is unbearable.	1
"” and he just points me to another door—not the one I came in…So I proceed through that door which leads me through a corridor of offices and finally lets me out into a room where I see all the counters to buy stamps/mail things,"	1
 I finally get back to my room and collapse on the bed.	1
 It’s about 1:30 and my train leaves that evening at 8:30 back to Delhi where I will take a Taxi to the airport to meet some Polish traveling companions who are also going to the yoga school in Dharamsala.	1
 I get myself together and exit my room to find that they’ve locked the front doors to the hotel—which hey…safety first right?	1
" Most of the hotels and restaurants in Agra advertise their views of the Taj,"	1
 I felt confident enough to where I took my camera out and took a picture.	1
 Apparently they don’t allow tripods…great.	1
 It would have been faster to go back to my hotel but I couldn't wake up the “guard” again.	1
" Back to the hotel for breakfast and a quick snooze,"	1
 The gentleman across from me gives me a few of his crackers—he informed me that he was out partying last night and is now hungry.	1
" He more or less takes me to my hotel—rips me off again,"	0
 I make it to my room and collapse from the exhaustion.	1
" Head back to the room and end up falling asleep in my room till 10:00pm,"	1
 The food during our stay was the best we have eaten since we have been here.	1
 We had a great time with Becky at dinner and lunch and she gave us a great insight into working in the hospital and was a homely comfort following our Varanasi expedition!	1
One of the biggest issues facing the mental treatment of persons affected by leprosy is self-stigma.	0
 All this is whilst the patients are in the first stages of the MDT treatment as it is very important to allow the patients to regain the functional use of their hands and rid themselves of the physical stigma as early as possible.	0
" but after venturing 20m out of the hotel door,"	1
" I cannot summon quite enough vitriol and bitter resentment for the city of lights,"	1
 We were in class AC2 with the majority of people being tablet and mobile wielding Indians.	1
 He dropped us 'very near to Lalita Ghat' where our hotel was booked as tuk-tuks are not allowed down the narrow alley ways.	1
 We eventually bumped into a lovely American tourist who suggested we stay at her hostel.	1
 we instead checked into the hotel next door being Shiva Guesthouse.	1
be staying in that night.	1
 The English speaking manager was much friendlier and helpful than the female lady at reception who nearly put me off the whole place altogether.	1
 The hotel itself was in a suburb of Agra and the room was clean even if the shower was again cold.	1
 the North to South canal was full of water contrary to what my Guidebook had foretold and the leafy gardens were a refreshing break from the 45 degree sun.	1
 We headed back tired but very happy with all we had managed to see and do.	1
